customer_id,Car_id,Purchase_Date,Customer_Name,Customer_Gender,Customer_Country,Customer_City,Customer_Age,Customer_Annual_Income,Company,Body_Style_Model,Engine,Transmission,Color,year_of_model,Price
1111,HUN-MID-810,03/01/2020,Dina Youssef,FEMALE,Egypt,Giza,41,389460,hyundai,SEDAN i10,Overhead Camshaft,Auto,Grey,2020,23100
1112,HUN-MID-810,08/01/2020,Ahmed Al-Nahyan,MALE,Saudi Arabia,Jeddah,47,416286,hyundai,SEDAN i10,Overhead Camshaft,Auto,Red,2020,23100
1113,HUN-MID-812,08/01/2020,Hamed Al-Busaidi,MALE,Saudi Arabia,Riyadh,49,281380,hyundai,SEDAN i30,Overhead Camshaft,Auto,Red,2020,25100
1114,HUN-MID-815,08/01/2020,Khalfan Al-Raisi,MALE,Oman,Sur,55,427973,hyundai,SEDAN SONATA,Overhead Camshaft,Auto,Black,2020,21100
1115,HUN-MID-816,10/01/2020,Reem Al-Zaabi,FEMALE,Bahrain,Muharraq,36,158388,hyundai,SEDAN ACCENT,Overhead Camshaft,Auto,Blue,2020,12800
1116,HUN-MID-814,10/01/2020,Fatima Al-Mansouri,FEMALE,Morocco,Casablanca,37,329555,hyundai,SEDAN AZERA,Overhead Camshaft,Auto,Black,2020,62300
1117,HUN-MID-815,10/01/2020,Nadir Belkacem,MALE,Kuwait,Kuwait City,51,213741,hyundai,SEDAN SONATA,Overhead Camshaft,Auto,Black,2020,21100
1118,HUN-MID-814,10/01/2020,Mariam Al-Suwaidi,FEMALE,Saudi Arabia,Mecca,47,466900,hyundai,SEDAN AZERA,Overhead Camshaft,Auto,Black,2020,62300
1119,HUN-MID-819,10/01/2020,Sami Al-Hussein,MALE,United Arab Emirates,Dubai,40,228205,hyundai,SUV CRETA,Overhead Camshaft,Auto,Red,2020,45300
1120,HUN-MID-816,11/01/2020,Nasser Al-Qahtani,MALE,Algeria,Algiers,46,299548,hyundai,SEDAN ACCENT,Overhead Camshaft,Auto,Red,2020,12800
